Müügiloa number;Müügiloa staatus;H/V;Ravimi nimetus;Ravimi tugevus;Ravimvorm;ATC kood;Toimeaine;Müügiloa hoidja organisatsioon;Müügiloa hoidja organisatsiooni ORG ID;Müügiloa hoidja organisatsiooni asukoha LOC ID;Juhtumi number;Päritolumaa;Müügiloa kehtivuse alguse kuupäev;Müügiloa kehtivuse lõpu kuupäev;Ravimikaardi number;Ravimi liik;Täiendav järelevalve;Pakendi erandite alguskuupäev;Pakendi erandite lõppkuupäev;Toodetud ravimvorm;Manustatav ravimvorm;Ravimis sisalduv toimeaine;Ravimis sisalduva toimeaine tugevus;Referentstoimeaine;Referentstoimeaine tugevus;Manustamisviisid;Seade pakendis;Säilitustingimused;Pakendi suurus;Müügiloa taotluse number;Müügiloa taotluse protseduuri number;Esitamise kuupäev
MA number;MA status;Domain;MedicinalProduct name (it's not full name tbh);Strength;Authorised dose form;ATC;Active ingredients;MAH;MAH organisation id;MAH location id, used in creating MPID;Irrelevant;Irrelevant;MA status date;;Medication card number. We have used this to create MPID.;;Irrelevant;;;Manufactured dose form;Administrable dose form;Active ingredient;;Reference substance;Reference strength;;;;Pack sizes (see packages xls);Irrelevant;Irrelevant;Irrelevant
EU/1/09/575;Valid;H;COPALIA HCT;160mg, 12.5mg, 10mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;04.11.2009;;3309;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;valsartaan, hüdroklorotiasiid, amlodipiin;160mg, 12.5mg, 10mg;Suukaudne;;;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;1;;
837914;Valid;H;TENLORIS;10mg, 50mg;Õhukese polümeerikattega tablett;C09DB06;amlodipiin, losartaan;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;28.02.2014;;4531;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;losartaan, amlodipiin;;amlodipiin, losartaan;10mg, 50mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 10 Tablett, 28 Tablett;1;;
885515;Valid;H;TRIVERAM 40MG/10MG/10MG;40mg, 10mg;Õhukese polümeerikattega tablett;C10BX11;amlodipiin, atorvastatiin, perindopriil;Les Laboratoires Servier;ORG-100000964;LOC-100000973;2553;;16.09.2015;;9838;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;atorvastatiin, amlodipiin, perindopriil;;atorvastatiin, amlodipiin, perindopriil;40mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, See ravimpreparaat ei vaja säilitamisel eritingimusi, Hoida pakend tihedalt suletuna, hoida niiskuse eest kaitstult;90 Tablett, 100 Tablett, 28 Tablett, 84 Tablett, 30 Tablett;2553;;22.07.2022
835014;Valid;H;TRIPLIXAM;5mg, 1.25mg;Õhukese polümeerikattega tablett;C09BX01;indapamiid, amlodipiin, perindopriil;Les Laboratoires Servier;ORG-100000964;LOC-100000973;1;;27.01.2014;;4283;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;indapamiid, perindopriil, amlodipiin;;perindopriil, indapamiid, amlodipiin;5mg, 1.25mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 500 Tablett, 10 Tablett, 28 Tablett, 84 Tablett;1;;
825213;Valid;H;NATRIXAM;10mg, 1.5mg;Toimeainet modifitseeritult vabastav tablett;C08GA80;indapamiid, amlodipiin;Les Laboratoires Servier;ORG-100000964;LOC-100000973;1;;03.10.2013;;4288;Chemical Medicinal Product;Ei;;;Toimeainet modifitseeritult vabastav tablett;Toimeainet modifitseeritult vabastav tablett;amlodipiin, indapamiid;;amlodipiin, indapamiid;10mg, 1.5mg;Suukaudne;;Hoida temperatuuril kuni 30°C;15 Tablett, 30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 500 Tablett;1;;
EU/1/06/372;Valid;H;COPALIA;160mg, 10mg;Õhukese polümeerikattega tablett;C09DB01;valsartaan, amlodipiin;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;16.01.2007;;2303;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;valsartaan, amlodipiin;160mg, 10mg;Suukaudne;;;7 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;1;;
EU/1/09/569;Valid;H;EXFORGE HCT;25mg, 160mg, 10mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;16.10.2009;;3257;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin, hüdroklorotiasiid;;hüdroklorotiasiid, valsartaan, amlodipiin;25mg, 160mg, 10mg;Suukaudne;;;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;1;;
EU/1/09/569;Valid;H;EXFORGE HCT;5mg, 25mg, 160mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, valsartaan, amlodipiin;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;16.10.2009;;3256;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, valsartaan;;amlodipiin, hüdroklorotiasiid, valsartaan;5mg, 25mg, 160mg;Suukaudne;;;98 Tablett, 280 Tablett, 30 Tablett, 56 Tablett, 14 Tablett, 90 Tablett, 28 Tablett;1;;
EU/1/09/575;Valid;H;COPALIA HCT;25mg, 10mg, 160mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, hüdroklorotiasiid, valsartaan;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;04.11.2009;;3311;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, hüdroklorotiasiid, valsartaan;;hüdroklorotiasiid, amlodipiin, valsartaan;25mg, 10mg, 160mg;Suukaudne;;;56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett, 14 Tablett, 28 Tablett, 30 Tablett;1;;
EU/1/10/648;Valid;H;TWYNSTA;40mg, 5mg;Tablett;C09DB04;amlodipiin, telmisartaan;Boehringer Ingelheim International GmbH;ORG-100012432;LOC-100018243;1;;07.10.2010;;3748;Chemical Medicinal Product;Ei;;;Tablett;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;40mg, 5mg;Suukaudne;;;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 360 Tablett;1;;
808113;Valid;H;ALNETA;5mg;Tablett;C08CA01;amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;04.03.2013;;4195;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;5mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis;60 Tablett, 28 Tablett, 84 Tablett, 30 Tablett, 90 Tablett, 56 Tablett, 98 Tablett, 100 Tablett;1;;
744511;Valid;H;AMLODIPINE VITABALANS;5mg;Tablett;C08CA01;amlodipiin;Vitabalans Oy;MO193;ML194;1;;10.06.2011;;3286;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;5mg;Suukaudne;;Hoida sisepakend välispakendis, hoida valguse eest kaitstult;30 Tablett, 60 Tablett, 100 Tablett, 90 Tablett;1;;
1023521;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE/HYDROCHLOROTHIAZIDE ALEMBIC;12.5mg, 5mg, 40mg;Õhukese polümeerikattega tablett;C09DX03;hüdroklorotiasiid, olmesartaanmedoksomiil, amlodipiin;Alembic Pharmaceuticals Europe Ltd;ORG-100007006;LOC-100015977;1029;;03.03.2021;;7439;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, olmesartaanmedoksomiil, hüdroklorotiasiid;;hüdroklorotiasiid, amlodipiin, olmesartaanmedoksomiil;12.5mg, 5mg, 40mg;Suukaudne;;Hoida temperatuuril kuni 30°C;28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 84 Tablett, 7 Tablett, 10 Tablett, 14 Tablett, 90 Tablett, 98 Tablett, 500 Tablett, 280 Tablett, 300 Tablett;1029;EE/H/0302/IB/005/G;06.07.2022
EU/1/09/575;Valid;H;COPALIA HCT;10mg, 320mg, 25mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, amlodipiin, valsartaan;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;04.11.2009;;3312;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, valsartaan, hüdroklorotiasiid;;amlodipiin, valsartaan, hüdroklorotiasiid;10mg, 320mg, 25mg;Suukaudne;;;28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett, 14 Tablett;1;;
176397;Valid;H;NORVASC;10mg;Tablett;C08CA01;amlodipiin;Upjohn EESV;ORG-100023206;LOC-100032008;685;;22.08.1997;;241;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;10mg;Suukaudne;;Hoida temperatuuril kuni 25°C;100 Tablett, 300 Tablett, 500 Tablett, 28 Tablett, 50 Tablett, 60 Tablett, 90 Tablett, 98 Tablett, 30 Tablett, 4 Tablett, 10 Tablett, 14 Tablett, 20 Tablett;685;SE/H/xxxx/IA/658/G;30.05.2022
