Müügiloa number;Müügiloa staatus;H/V;Pakendikood;Ravimi nimetus;Ravimi tugevus;Ravimvorm;ATC kood;Toimeaine;Pakendi suurus;Müügiloa hoidja organisatsioon;Müügiloa hoidja organisatsiooni ORG ID;Müügiloa kehtivuse alguse kuupäev;Müügiloa kehtivuse lõpu kuupäev;Ravimikaardi number;Ravimikaardi staatus;Ravimi liik;Täiendav järelevalve;Erandid pakendi nõuetest;Toodetud ravimvorm;Manustatav ravimvorm;Ravimis sisalduv toimeaine;Ravimis sisalduva toimeaine tugevus;Referentstoimeaine;Referentstoimeaine tugevus;Manustamisviisid;Seade pakendis;Kõlblikkusaeg;Säilitustingimused;PD pakend;Sisepakendi liik;Sisepakendi materjal;Pakendi komponendi liik;Pakendi komponendi materjal;Müügiloa liik;Müügiloa hoidja organisatsiooni asukoht;Müügiloa hoidja organisatsiooni asukoha LOC ID;ML juhtumi taotluse liik;Juhtumi staatus;Müügiloa taotluse protseduuri number;Esitamise kuupäev;Otsuse kuupäev;Juhtumi lõpu kuupäev
MA number (should be on MedicinalProduct level only!);MA status;Domain;Package code (used for creating PCID);Name (invented name?) of medicinal product;Strength;Authorised dose form;ATC[who];Active ingredients;Pack size (unit from Unit of Presentation);MAH;MAH ORG-id (regulatedAuthorisation.Identifier[org-id];MAH status date;;Medication card number (link to medicinal product xls);;;;;;Administrable dose form;Active ingredients;;Reference substance;Reference strength;Route of administration;;;;;Inner package;Material of package;;;;;MAH LOC-id;;;;;;
EU/1/16/1092;Valid;H;1714384;AMLODIPINE/VALSARTAN MYLAN;160mg, 5mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;98 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5799;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;valsartaan, amlodipiin;160mg, 5mg;Suukaudne;;;;Ei;pudel;High Density PolyEthylene, PolyVinyl Chloride, PolyChloroTriFluoroEthylene;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714294;AMLODIPINE/VALSARTAN MYLAN;5mg, 80mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;30 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5798;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;5mg, 80mg;Suukaudne;;;;Ei;blister;PolyChloroTriFluoroEthylene, PolyVinyl Chloride;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714272;AMLODIPINE/VALSARTAN MYLAN;5mg, 80mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;14 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5798;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;5mg, 80mg;Suukaudne;;;;Ei;blister;PolyVinyl Chloride, PolyChloroTriFluoroEthylene;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714283;AMLODIPINE/VALSARTAN MYLAN;5mg, 80mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;28 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5798;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;5mg, 80mg;Suukaudne;;;;Ei;pudel;PolyChloroTriFluoroEthylene, High Density PolyEthylene, PolyVinyl Chloride;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714340;AMLODIPINE/VALSARTAN MYLAN;160mg, 5mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;28 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5799;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;valsartaan, amlodipiin;160mg, 5mg;Suukaudne;;;;Ei;pudel;PolyChloroTriFluoroEthylene, High Density PolyEthylene, PolyVinyl Chloride;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714441;AMLODIPINE/VALSARTAN MYLAN;10mg, 160mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;98 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5800;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;10mg, 160mg;Suukaudne;;;;Ei;pudel;High Density PolyEthylene, PolyChloroTriFluoroEthylene, PolyVinyl Chloride;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714395;AMLODIPINE/VALSARTAN MYLAN;10mg, 160mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;14 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5800;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;10mg, 160mg;Suukaudne;;;;Ei;blister;PolyVinyl Chloride, PolyChloroTriFluoroEthylene;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714418;AMLODIPINE/VALSARTAN MYLAN;10mg, 160mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;30 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5800;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;10mg, 160mg;Suukaudne;;;;Ei;blister;PolyChloroTriFluoroEthylene, PolyVinyl Chloride;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
EU/1/16/1092;Valid;H;1714429;AMLODIPINE/VALSARTAN MYLAN;10mg, 160mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;56 Tablett;Mylan Pharmaceuticals Limited;ORG-100034257;22.03.2016;;5800;Lõpetatud;Chemical Medicinal Product;Ei;Ei;;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;10mg, 160mg;Suukaudne;;;;Ei;pudel;PolyChloroTriFluoroEthylene, PolyVinyl Chloride, High Density PolyEthylene;;;Marketing Authorisation;"Damastown Industrial Park
Mulhuddart
Dublin 15, DUBLIN, Ireland";LOC-100054211;;MIGRATION_SUCCESSFUL;;;;10.07.2022
